payment_type,day_of_year,count_of_transactions,transaction_amounts_sum
1,1,196638,2936470.7000000007
1,2,176736,2413697.6199999978
1,3,137040,1880176.3400000003
1,4,222951,2966349.5700000003
1,5,214958,3017067.3299999968
1,6,224837,3240262.4599999981
1,7,270564,3572468.0199999977
1,8,282347,3762506.3299999959
1,9,288173,3961271.1399999983
1,10,303568,4161590.1799999992
1,11,298075,3826991.2799999984
1,12,265273,3726678.9500000034
1,13,249003,3499554.2599999974
1,14,277403,3872212.879999999
1,15,288058,4181354.6000000015
1,16,299200,4287518.46
1,17,297018,4327126.450000003
1,18,289010,3786890.6200000034
1,19,267506,3584427.2499999986
1,20,220495,3175028.6799999983
1,21,148971,2295848.4000000018
1,22,233156,3204769.32
1,23,289885,4371381.8800000008
1,24,314104,4505500.8899999959
1,25,314383,4010631.71
1,26,275922,3757984.1200000015
1,27,255597,3572041.6800000011
1,28,293853,3989994.6799999978
1,29,302786,4216519.7399999993
1,30,314762,4511095.4399999985
1,31,327473,4650190.8099999959
1,32,319662,4232479.7100000018
1,33,283444,3833197.9799999995
1,34,227295,3197459.4599999967
1,35,284127,4013567.2800000021
1,36,262093,3485052.7799999993
1,37,304960,4539791.37
1,38,320598,4672857.9599999972
1,39,332647,4348003.4299999969
1,40,284480,3861325.5200000005
1,41,268129,3817362.4799999991
1,42,308359,4318867.92
1,43,305719,4419386.7499999972
1,44,202144,2590723.61
1,45,292329,4281063.0400000019
1,46,282786,3697440.5400000014
1,47,265020,3521186.6599999992
1,48,228519,3196375.1499999976
1,49,257278,3634024.2999999993
1,50,277409,4085241.3499999978
1,51,290051,4271304.7699999986
1,52,313890,4409030.4199999943
1,53,312467,4247334.120000002
1,54,266661,3822081.8600000003
1,55,268042,3790743.1899999976
1,56,296687,4093212.1399999969
1,57,313718,4339157.1300000008
1,58,325846,4627914.0799999982
1,59,336063,4776878.6999999974
1,60,329172,4455374.0100000007
1,61,277536,3915398.3499999973
1,62,282070,3721591.0099999974
1,63,309760,4271541.6500000013
1,64,319616,4497851.7499999991
1,65,333175,4797859.59
1,66,337712,4831419.9700000007
1,67,324226,4430127.6899999967
1,68,275818,4011808.8499999982
1,69,264680,3843544.6399999959
1,70,280238,4051872.0199999996
1,71,304613,4375778.7100000009
1,72,346611,4821358.3499999978
1,73,334308,4828794.3099999977
1,74,323359,4447356.77
1,75,286339,4120761.3299999991
1,76,258244,3811184.8500000015
1,77,289998,4099282.86
1,78,307432,4355917.9200000018
1,79,316756,4657063.6399999959
1,80,320080,4684426.8799999971
1,81,316227,4369564.4700000016
1,82,286720,4191119.1900000037
1,83,269087,3866527.2099999986
1,84,290275,4046030.9199999971
1,85,318655,4430811.9699999988
1,86,323575,4697425.7099999981
1,87,324400,4677594.0200000014
1,88,342088,4561449.6100000031
1,89,278495,4040326.0599999987
1,90,264585,3889100.73
1,91,288325,4065178.0700000003
1,92,306580,4390354.5199999977
1,93,314613,4650749.75
1,94,340497,4856710.5199999968
1,95,324075,4472068.8699999992
1,96,283407,4181778.4400000018
1,97,281515,4016826.86
1,98,291222,4170046.95
1,99,304393,4425208.9199999981
1,100,315406,4724536.88
1,101,313565,4658855.87
1,102,317945,4365560.3100000005
1,103,272867,3989811.9499999997
1,104,239589,3514561.8600000003
1,105,290270,3964558.1699999971
1,106,301202,4270832.0
1,107,310638,4587287.8999999994
1,108,301295,4195279.1099999957
1,109,270222,3640371.799999997
1,110,242140,3523206.1899999985
1,111,245382,3611760.7600000012
1,112,282555,4044859.2499999995
1,113,313566,4534037.0300000021
1,114,317886,4808282.3299999954
1,115,326019,4837582.040000001
1,116,325405,4560581.620000002
1,117,284344,4267404.8100000005
1,118,264652,3924751.029999997
1,119,304889,4283870.06
1,120,314040,4585494.5300000049
1,121,311312,4749838.68
1,122,319286,4902224.0300000012
1,123,323587,4567081.6500000013
1,124,280691,4189002.7899999986
1,125,278512,4194260.2399999993
1,126,299586,4407209.3300000029
1,127,304891,4596122.5600000015
1,128,323788,4888136.6999999993
1,129,328672,4907670.62
1,130,315437,4417390.67
1,131,265939,4072079.22
1,132,265783,4048643.8199999984
1,133,296511,4372118.44
1,134,297913,4620058.0999999978
1,135,316715,4904014.15
1,136,324068,4899334.5100000035
1,137,303568,4591285.5399999991
1,138,281517,4361324.1499999966
1,139,271250,4149975.1399999969
1,140,290832,4441934.59
1,141,303192,4659238.6099999975
1,142,308497,4766187.6799999969
1,143,299885,4583702.11
1,144,228786,3297338.0199999996
1,145,203739,2985167.07
1,146,190890,3000682.0699999984
1,147,259320,3930682.7499999991
1,148,293470,4418894.2700000014
1,149,307763,4638814.9799999977
1,150,312949,4674981.6100000013
1,151,304991,4352108.3800000008
1,152,260417,4154387.61
1,153,258976,3930066.0800000019
1,154,288254,4226642.6099999966
1,155,307562,4549848.5200000023
1,156,320012,4832480.2599999979
1,157,304597,4691241.7099999981
1,158,295019,4172375.8400000031
1,159,256361,3959343.7700000009
1,160,269692,4138864.42
1,161,290309,4295734.5699999984
1,162,305621,4614651.799999998
1,163,321162,4876098.629999998
1,164,314485,4729276.6700000027
1,165,290682,4152443.9399999985
1,166,245451,3745044.399999998
1,167,258072,3904184.8099999968
1,168,278964,4160829.1700000009
1,169,297904,4458932.3300000019
1,170,310107,4710038.5399999991
1,171,302072,4583495.7499999981
1,172,280252,3990178.810000001
1,173,257277,3909972.2599999961
1,174,248976,3786666.4499999969
1,175,275580,4090996.6200000015
1,176,297187,4449432.8199999966
1,177,312441,4833547.8299999963
1,178,298007,4582127.3799999971
1,179,283444,4059826.14
1,180,238953,3714137.5300000007
1,181,243758,3606239.4000000013
1,182,274442,3867745.4300000011
1,183,273131,3941778.0399999972
1,184,253674,3807722.0100000012
1,185,174349,2532871.3599999994
1,186,164874,2359166.64
1,187,178015,2808824.8099999996
1,188,224125,3335165.2600000012
1,189,267424,3768763.209999999
1,190,281703,4071297.879999999
1,191,291117,4264622.4499999983
1,192,286443,4204278.81
1,193,266601,3733571.2599999965
1,194,248408,3637098.419999999
1,195,254556,3735144.3800000004
1,196,276045,3965545.9199999976
1,197,287026,4278690.87
1,198,292305,4392678.9299999988
1,199,288361,4278609.6400000015
1,200,264143,3675584.7499999995
1,201,239069,3584606.4099999997
1,202,241043,3591670.5199999986
1,203,278126,4024647.5200000005
1,204,295235,4301213.5500000026
1,205,296115,4442396.169999999
1,206,286826,4290905.1799999988
1,207,264261,3687604.6199999969
1,208,240033,3544192.6399999983
1,209,218398,3252071.4899999974
1,210,261847,3792627.7100000023
1,211,280110,4116487.0000000014
1,212,292800,4429735.950000002
1,213,286505,4263603.1999999993
1,214,265144,3711660.4799999986
1,215,238817,3547872.4
1,216,235436,3516130.9899999974
1,217,261283,3798329.4199999971
1,218,278279,4085410.3500000043
1,219,285229,4308017.2299999977
1,220,278154,4112703.8899999992
1,221,248226,3546321.6200000015
1,222,221235,3367500.5399999972
1,223,226083,3390533.2399999984
1,224,259041,3715296.4700000011
1,225,276898,3998429.8899999992
1,226,278934,4185270.6600000011
1,227,277484,4153784.1099999994
1,228,249123,3593644.2599999984
1,229,226089,3447195.9700000011
1,230,225246,3389440.5200000005
1,231,249516,3596270.0199999972
1,232,263860,3865241.44
1,233,279614,4156399.899999998
1,234,261952,3932556.4999999981
1,235,238455,3421743.9099999988
1,236,216185,3346060.13
1,237,213150,3169172.8099999987
1,238,238578,3436433.799999997
1,239,258536,3726650.5199999991
1,240,259486,3871113.049999998
1,241,247691,3746021.239999997
1,242,208882,2995951.4599999995
1,243,196177,2854461.7699999996
1,244,187400,2887514.12
1,245,251660,3742183.2
1,246,280062,4089437.4900000012
1,247,303810,4515931.9800000023
1,248,319820,4679925.37
1,249,315471,4371900.0800000019
1,250,279235,4087416.7800000021
1,251,269472,4050665.47
1,252,290357,4303759.799999998
1,253,304780,4562502.4899999956
1,254,314507,4604395.3599999975
1,255,314280,4748470.7200000025
1,256,322699,4447064.2499999981
1,257,283001,4194990.38
1,258,263298,3919604.549999997
1,259,288186,4240296.83
1,260,292954,4459402.0799999991
1,261,305039,4725000.8500000006
1,262,316481,4875709.2499999981
1,263,304546,4406997.459999999
1,264,254263,4121752.5600000028
1,265,246362,3884430.1800000006
1,266,259539,4035479.22
1,267,268349,4076000.7299999995
1,268,275797,4111636.96
1,269,282535,4235842.379999998
1,270,299484,4285025.0600000005
1,271,267680,4058616.1300000008
1,272,252396,3892945.4799999991
1,273,281904,4134359.1199999978
1,274,300921,4386953.589999998
1,275,306485,4563288.02
1,276,308011,4492492.9
1,277,281098,3715611.0899999971
1,278,259250,3910369.0300000007
1,279,254022,3790390.66
1,280,279211,4092730.5
1,281,296039,4420837.1099999975
1,282,311054,4677476.2599999988
1,283,314361,4796859.31
1,284,309301,4346730.0000000019
1,285,267086,4102671.4400000009
1,286,238219,3498943.4499999983
1,287,274463,4149936.6799999974
1,288,294863,4374961.7399999993
1,289,317369,4742599.4799999986
1,290,318530,4856281.1599999983
1,291,318449,4479401.2799999947
1,292,289297,4290279.3800000018
1,293,261442,3929211.6400000006
1,294,289170,4219908.9799999995
1,295,307945,4568660.81
