payment_type,month_,count_of_transactions,transaction_amounts_sum
1,1,8139745,1.1326560178999996E8
1,2,8030423,1.1212306369999962E8
1,3,9435850,1.3380026504000054E8
1,4,8888504,1.2812240840000041E8
1,5,9013340,1.355875024800004E8
1,6,8511594,1.2790910667000033E8
1,7,8040605,1.1771731882999966E8
1,8,7749288,1.142492217899992E8
1,9,8495367,1.2674925633000036E8
1,10,9097702,1.3473785963000056E8
1,11,8506998,1.252844779000002E8
1,12,8214531,1.2208214833999981E8
2,1,6332836,7.517245457999954E7
2,2,5927992,7.098634969999963E7
2,3,7156812,8.642674416999923E7
2,4,6911549,8.608437476999938E7
2,5,7050162,9.072214778999908E7
2,6,6517926,8.376880819999933E7
2,7,6224160,7.906999173999944E7
2,8,6174316,7.983351312999938E7
2,9,6121331,7.900455297999932E7
2,10,6496950,8.32137294099994E7
2,11,6136787,7.721882235999948E7
2,12,6323735,8.016597630999953E7
